iter	Passed	Remaining
0	68	68549
1	69	34523
2	69	23135
3	70	17514
4	70	14093
5	71	11812
6	71	10171
7	72	8976
8	73	8051
9	73	7282
10	73	6647
11	74	6130
12	74	5681
13	75	5304
14	75	4973
15	76	4679
16	76	4422
17	76	4190
18	77	3981
19	77	3795
20	77	3626
21	78	3473
22	78	3332
23	78	3203
24	79	3085
25	79	2976
26	79	2874
27	80	2781
28	80	2693
29	81	2629
30	81	2561
31	83	2517
32	86	2523
33	86	2468
34	87	2408
35	87	2350
36	88	2294
37	88	2241
38	88	2191
39	89	2146
40	89	2102
41	90	2061
42	92	2055
43	92	2015
44	93	1975
45	93	1938
46	93	1902
47	94	1867
48	95	1844
49	95	1815
50	95	1786
51	96	1757
52	102	1827
53	105	1839
54	105	1813
55	106	1800
56	107	1774
57	107	1748
58	108	1725
59	108	1701
60	109	1678
61	109	1656
62	109	1633
63	110	1612
64	110	1593
65	111	1575
66	111	1556
67	112	1546
68	114	1548
69	116	1551
70	118	1550
71	119	1535
72	119	1518
73	120	1503
74	120	1486
75	120	1470
76	121	1455
77	121	1439
78	122	1424
79	122	1409
80	122	1394
81	123	1379
82	123	1364
83	123	1350
84	124	1336
85	124	1324
86	124	1310
87	125	1298
88	125	1286
89	126	1274
90	126	1262
91	126	1250
92	127	1239
93	128	1234
94	129	1230
95	129	1223
96	131	1224
97	134	1235
98	135	1234
99	140	1263
100	141	1255
101	141	1244
102	141	1234
103	142	1224
104	142	1215
105	145	1225
106	146	1221
107	146	1213
108	149	1220
109	150	1217
110	150	1209
111	151	1200
112	151	1191
113	152	1182
114	152	1174
115	153	1166
116	153	1157
117	153	1149
118	154	1141
119	154	1133
120	154	1125
121	155	1116
122	155	1108
123	155	1100
124	156	1097
125	157	1095
126	159	1093
127	160	1095
128	161	1089
129	162	1084
130	162	1080
131	163	1076
132	164	1070
133	164	1063
134	164	1057
135	165	1050
136	165	1043
137	166	1037
138	166	1031
139	166	1025
140	170	1039
141	170	1032
142	171	1027
143	171	1021
144	172	1016
145	172	1010
146	173	1005
147	173	999
148	174	994
149	175	993
150	175	989
151	176	984
152	176	978
153	177	973
154	178	972
155	179	971
156	180	968
157	180	963
158	181	960
159	182	955
160	182	950
161	182	945
162	183	940
163	183	935
164	183	930
165	184	925
166	184	920
167	185	916
168	185	911
169	185	907
170	186	902
171	186	897
172	186	893
173	187	888
174	187	884
175	187	880
176	188	875
177	188	871
178	189	867
179	189	863
180	193	874
181	194	873
182	195	871
183	195	867
184	196	863
185	196	859
186	197	857
187	197	854
188	198	851
189	199	851
190	200	847
191	201	848
192	202	846
193	204	848
194	205	850
195	208	853
196	208	849
197	211	857
198	212	854
199	213	855
200	214	853
201	215	851
202	216	849
203	218	852
204	219	849
205	220	848
206	222	853
207	226	861
208	227	859
209	227	855
210	227	852
211	228	848
212	228	845
213	229	841
214	229	838
215	229	834
216	230	830
217	230	827
218	230	823
219	231	820
220	231	816
221	231	812
222	232	810
